CGNDB ID,Geographical Name,Generic Term,Latitude,Longitude,Province - Territory
BACBW,Rackhams Pond,Pond,46.3674770,-63.2869810,Prince Edward Island
BACBY,Ram Island,Island,46.7802080,-64.0874740,Prince Edward Island
BACBX,Ram Island,Island,46.5372740,-63.7508540,Prince Edward Island
BACCA,Rams Island,Island,46.3090120,-62.9805330,Prince Edward Island
BADFA,Ramsay Creek,Creek,46.5917660,-63.8733970,Prince Edward Island
BACBZ,Ramsays Pond,Pond,46.4998130,-63.8420870,Prince Edward Island
BADFB,Rayners Creek,Creek,46.4349870,-63.7324760,Prince Edward Island
BACCE,Rayners Pond,Pond,46.8377120,-64.0251630,Prince Edward Island
BACCF,Reads Corner,Locality,46.4020440,-63.7456670,Prince Edward Island
BADFD,Reads Creek,Creek,46.3938020,-63.7454940,Prince Edward Island
BACCG,Reardons Pond,Pond,46.2623020,-62.9176160,Prince Edward Island
BACCJ,Red Head,Head,46.4317650,-62.7141660,Prince Edward Island
BACCH,Red Head,Head,46.1200030,-62.4964200,Prince Edward Island
BACCI,Red Head,Head,46.4243440,-64.1416360,Prince Edward Island
BACCK,Red House,Locality,46.3269410,-62.3928150,Prince Edward Island
BACCN,Red Point,Point,46.4711960,-62.5170920,Prince Edward Island
BACCM,Red Point,Point,46.5654320,-63.8488690,Prince Edward Island
BACCP,Red Point,Point,46.3677470,-62.1333320,Prince Edward Island
BACCL,Red Point,Point,46.2076200,-62.4708080,Prince Edward Island
BACCO,Red Point,Locality,46.3795730,-62.1404920,Prince Edward Island
BACCQ,Red Point,Point,46.2958190,-63.0140620,Prince Edward Island
BACCR,Red Point,Point,46.2676160,-62.4713080,Prince Edward Island
BACCS,Red Point Provincial Park,Provincial Park,46.3682400,-62.1353920,Prince Edward Island
BAEYV,Refuge d'oiseaux de Black Pond,Migratory Bird Sanctuary,46.3750000,-62.1666670,Prince Edward Island
BACCV,Reillys Shore,Shore,46.7286560,-64.3911290,Prince Edward Island
BACCW,Rennies Road,Locality,46.3764030,-63.3517820,Prince Edward Island
BADFE,Reynolds Creek,Creek,46.1166670,-62.5000000,Prince Edward Island
BACCX,Reynolds Island,Island,46.0366800,-62.5177380,Prince Edward Island
BACCZ,Rice Point,Locality,46.1340670,-63.2339950,Prince Edward Island
BACCY,Rice Point,Point,46.1321830,-63.2219870,Prince Edward Island
BACDB,Richard Point,Point,46.2085390,-63.5844500,Prince Edward Island
BACDC,Richards Point,Point,46.0199100,-62.5809550,Prince Edward Island
BAEGJ,Richmond,Locality,46.5079930,-63.9914700,Prince Edward Island
BACDF,Richmond Bay,Bay,46.5362600,-63.8458450,Prince Edward Island
BACDG,Rifleman Reef,Reef,45.9666670,-62.8666670,Prince Edward Island
BADRC,River Platte,River,46.4401340,-63.7881690,Prince Edward Island
BACDH,Riverdale,Locality,46.2330320,-63.3412030,Prince Edward Island
BACDJ,Riverton,Locality,46.3104670,-62.6772780,Prince Edward Island
BADFG,Robbs Creek,Creek,46.5846600,-64.0545320,Prince Edward Island
BACDL,Robertson,Former Railway Point,46.1772930,-62.6238760,Prince Edward Island
BADFH,Robertson Creek,Creek,46.1800550,-62.5881880,Prince Edward Island
BACDN,Robinsons Cove,Cove,46.1712270,-62.5655310,Prince Edward Island
BAEXS,Robinsons Island,Island,46.4416670,-63.2597220,Prince Edward Island
BACDR,Rock Barra,Locality,46.4711230,-62.2361970,Prince Edward Island
BACDU,Rocky Point,Point,46.6488330,-63.8875870,Prince Edward Island
BACDV,Rocky Point,Point,46.5224470,-64.1126850,Prince Edward Island
BACDT,Rocky Point,Point,46.2073180,-63.1477910,Prince Edward Island
BACDW,Rocky Point,Locality,46.2024100,-63.1505000,Prince Edward Island
BAEYL,Rocky Point 3,Indian Reserve,46.2035680,-63.1431910,Prince Edward Island
BACDX,Rollings Pond,Pond,46.4640960,-63.3015930,Prince Edward Island
BACDZ,Rollo Bay,Bay,46.3255620,-62.3312790,Prince Edward Island
BACDY,Rollo Bay,Locality,46.3597600,-62.3386880,Prince Edward Island
BACEB,Rollo Bay West,Settlement,46.3666670,-62.3666670,Prince Edward Island
BACEC,Rollo Point,Point,46.3389810,-62.3374700,Prince Edward Island
BACEM,Rose Valley,Locality,46.3206310,-63.4953250,Prince Edward Island
BACEE,Rosebank,Locality,46.2180560,-63.1166670,Prince Edward Island
BACEF,Rosebank,Locality,46.7942520,-64.1576120,Prince Edward Island
BACEG,Rosebank Point,Point,46.2202080,-63.1152420,Prince Edward Island
BACEH,Roseberry,Locality,46.0383480,-62.8736730,Prince Edward Island
BACEI,Roseberry Pond,Pond,46.0391550,-62.8710220,Prince Edward Island
BACEJ,Roseberry Twin Ponds,Ponds,46.0609110,-62.8811340,Prince Edward Island
BACEK,Rosehill,Locality,46.4630560,-63.8597220,Prince Edward Island
BACEL,Roseneath,Locality,46.2104560,-62.6231440,Prince Edward Island
BACEN,Roseville,Locality,46.8211640,-64.2454360,Prince Edward Island
BACEP,Ross Corner,Locality,46.3598700,-63.7060690,Prince Edward Island
BADFJ,Ross Creek,Creek,46.1937590,-62.8642200,Prince Edward Island
BACEQ,Ross Pond,Pond,46.1166670,-62.5666670,Prince Edward Island
BACES,Round Pond,Pond,46.9182430,-63.9873630,Prince Edward Island
BADFK,Rourkes Creek,Creek,46.1780530,-62.6155660,Prince Edward Island
BACET,Roxbury,Locality,46.7045600,-64.1053020,Prince Edward Island
BACEU,Royalty Junction,Locality,46.2972890,-63.1417880,Prince Edward Island
BACEV,Royalty Point,Point,46.5619410,-63.7072120,Prince Edward Island
BACEZ,Rustico Bay,Bay,46.4257820,-63.2374530,Prince Edward Island
BACFD,Rusticoville,Locality,46.4327210,-63.3189010,Prince Edward Island
BACFH,Saltgrass Point,Point,46.4092510,-63.9133700,Prince Edward Island
BACFI,Saltgrass Point,Point,46.6099990,-63.8690220,Prince Edward Island
BACFJ,Salutation Cove,Cove,46.3495520,-63.8021770,Prince Edward Island
BACFM,Sand Point,Point,46.2104380,-63.2029600,Prince Edward Island
BACFN,Sandy Cove,Cove,46.4076380,-63.9056930,Prince Edward Island
BACFP,Sandy Island,Island,46.8026840,-64.0463570,Prince Edward Island
BACFR,Sandy Point,Point,46.5523570,-64.0784660,Prince Edward Island
BACFU,Saunders Point,Point,46.0178690,-62.5938370,Prince Edward Island
BACFW,Savage Harbour,Locality,46.4216190,-62.8636940,Prince Edward Island
BACFV,Savage Harbour,Harbour,46.4168070,-62.8320730,Prince Edward Island
BACFY,Scales Pond,Pond,46.3461870,-63.6028100,Prince Edward Island
BACFZ,Scales Pond Provincial Park,Provincial Park,46.3445210,-63.6114600,Prince Edward Island
BADGJ,Schooner Creek,Creek,46.4592880,-62.6659590,Prince Edward Island
BACGA,Schooner Pond,Pond,46.4541290,-62.6583560,Prince Edward Island
BACGB,Schurmans Brook,Brook,46.3830650,-63.7532810,Prince Edward Island
BADUM,Schurmans Point,Point,46.3816990,-63.7641290,Prince Edward Island
BACGC,Scotchfort,Locality,46.3504660,-62.9202520,Prince Edward Island
BAEYM,Scotchfort 4,Indian Reserve,46.3625000,-62.9088890,Prince Edward Island
BADGM,Scotts Creek,Creek,46.2975580,-63.0536100,Prince Edward Island
BACGO,Sea View,Locality,46.5393470,-63.5943020,Prince Edward Island
BACGD,Seabrook,Former Railway Point,46.4258640,-63.6688530,Prince Edward Island
BACGE,Seacow Head,Head,46.3159320,-63.8106340,Prince Edward Island
BADVR,Seacow Pond,Pond,47.0293660,-63.9920290,Prince Edward Island
BACGF,Seacow Pond,Locality,47.0225230,-63.9915340,Prince Edward Island
BACGH,Seal Point,Point,46.7433980,-64.3776580,Prince Edward Island
BACGG,Seal Point,Point,46.5702410,-64.0589330,Prince Edward Island
BACGJ,Seal River,River,46.1605730,-62.8955370,Prince Edward Island
BACGK,Seal River,River,46.2267580,-62.5390890,Prince Edward Island
BACGL,Seal River,Locality,46.2317110,-62.5434740,Prince Edward Island
BACGI,Seal River,Locality,46.1970490,-62.8919090,Prince Edward Island
BACGM,Searletown,Locality,46.3019130,-63.6849760,Prince Edward Island
BACGN,Seatrout Point,Point,46.1944190,-63.1186230,Prince Edward Island
BACGP,Selkirk,Locality,46.4255450,-62.4448340,Prince Edward Island
BACGT,Sevenmile Bay,Bay,46.2837530,-63.7561970,Prince Edward Island
BACGU,Shallop Rock,Rock,46.3666670,-62.1333330,Prince Edward Island
BACGW,Shamrock,Locality,46.3215680,-63.5368490,Prince Edward Island
BACGX,Sharams Point,Point,46.0221910,-62.5223600,Prince Edward Island
BADGP,Sharps Point,Point,46.6085870,-63.8760520,Prince Edward Island
BACGZ,Shaws Beach,Beach,46.4214550,-63.1883860,Prince Edward Island
BACHA,Shaws Point,Point,46.1703720,-62.6212030,Prince Edward Island
BACHC,Shea Shore,Shore,46.9874280,-63.9914630,Prince Edward Island
BACHB,Sheas Brook,Brook,46.6242760,-63.9196350,Prince Edward Island
BACHD,Sheas Pond,Pond,46.9758770,-64.0003740,Prince Edward Island
BACHE,Sheep Head,Head,46.3340640,-62.2934180,Prince Edward Island
BACHF,Sheep Pond,Pond,46.3409370,-62.2814010,Prince Edward Island
BACHG,Sheep River,River,46.5512730,-64.0712720,Prince Edward Island
BAEXQ,Sherbrooke,Locality,46.4222220,-63.7625000,Prince Edward Island
BACHJ,Sherbrooke,Community,46.4250000,-63.7805560,Prince Edward Island
BACHK,Sherrens Pond,Pond,46.2540690,-63.4781840,Prince Edward Island
BACHM,Sherwood,Locality,46.2680560,-63.1297220,Prince Edward Island
BACHO,Ship Channel,Channel,46.5710270,-63.6855900,Prince Edward Island
BACHP,Shipwreck Point,Point,46.4703780,-62.4204770,Prince Edward Island
BADGR,Shipyard Creek,Creek,46.5044020,-63.9234700,Prince Edward Island
BACHQ,Shipyard Point,Point,46.5175400,-63.7038850,Prince Edward Island
BACHR,Shipyard Point,Point,46.6147610,-63.9094280,Prince Edward Island
BACHS,Shipyard River,River,46.5166670,-63.7000000,Prince Edward Island
BACHT,Shooting Gallery Shore,Shore,46.3932300,-63.8159670,Prince Edward Island
BACHU,Short Point,Point,46.4750510,-62.4730280,Prince Edward Island
BACHV,Sickle Point,Point,46.6310090,-63.8707830,Prince Edward Island
BADGW,Skinners Pond,Locality,46.9641290,-64.1175390,Prince Edward Island
BADGV,Skinners Pond,Pond,46.9607150,-64.1297830,Prince Edward Island
BACIC,Slemon Park,Locality,46.4347220,-63.8222220,Prince Edward Island
BADGX,Smelt Creek,Creek,46.6166670,-63.9166670,Prince Edward Island
BADGY,Smelt Creek,Creek,46.3091170,-62.5187090,Prince Edward Island
BACIE,Smelt River,River,46.4745830,-63.9673740,Prince Edward Island
BACII,Souris,Town,46.3544620,-62.2516400,Prince Edward Island
BAEUD,Souris Beach Provincial Park,Provincial Park,46.3567820,-62.2722500,Prince Edward Island
BACIJ,Souris Harbour,Harbour,46.3503450,-62.2536720,Prince Edward Island
BACIK,Souris Head,Head,46.3339840,-62.2805560,Prince Edward Island
BACIL,Souris Line Road,Locality,46.3966110,-62.2492430,Prince Edward Island
BACIO,Souris River,Locality,46.3771640,-62.2818100,Prince Edward Island
BACIN,Souris River,River,46.3534730,-62.2693560,Prince Edward Island
BAEJK,Souris West,Community,46.3588230,-62.2833630,Prince Edward Island
BACIQ,Souris West,Locality,46.3660000,-62.2870000,Prince Edward Island
BACIS,South Branch Pinette River,Branch,46.0544190,-62.9112290,Prince Edward Island
BACIT,South Branch Sturgeon River,Branch,46.1121470,-62.5498230,Prince Edward Island
BACIV,South Freetown,Locality,46.3557920,-63.6159400,Prince Edward Island
BACIW,South Granville,Locality,46.3962370,-63.4656620,Prince Edward Island
BACIY,South Lake,Lake,46.4203970,-62.0313960,Prince Edward Island
