CGNDB ID,Geographical Name,Language,Syllabic Form,Generic Term,Generic Category,Concise Code,Toponymic Feature ID,Latitude,Longitude,Location,Province - Territory,Relevance at Scale,Decision Date,Source
KAABS,Alberta Creek,Undetermined,,Creek,Water Feature,RIV,25167ae5d05411d892e2080020a0f4c9,63.0757762,-138.3081254,,Yukon,250000,1980-12-23,Yukon-Department of Tourism and Culture
KAACB,Alder Creek,Undetermined,,Creek,Water Feature,RIV,255be85bd05411d892e2080020a0f4c9,64.2907714,-139.5168131,,Yukon,250000,1981-03-30,Yukon-Department of Tourism and Culture
KAABZ,Alder Creek,Undetermined,,Creek,Water Feature,RIV,25433039d05411d892e2080020a0f4c9,60.3026268,-137.3630886,,Yukon,250000,1980-08-12,Yukon-Department of Tourism and Culture
KAACC,Aldis Creek,Undetermined,,Creek,Water Feature,RIV,2550288ad05411d892e2080020a0f4c9,63.8200643,-135.8381644,,Yukon,50000,1980-08-01,Yukon-Department of Tourism and Culture
KAHQS,Alexander Pup,Undetermined,,Pup,Water Feature,RIV,0c7038bd849c20c34982550e367c6574,63.9001893,-138.7678270,,Yukon,50000,1983-01-11,Yukon-Department of Tourism and Culture
KAACE,Alfred Butte,Undetermined,,Butte,Terrain Feature,MTN,0c6ede15849c20c3deb7d15826658b9c,60.0713888,-134.1127778,,Yukon,250000,1956-05-03,Yukon-Department of Tourism and Culture
KAHOT,Algae Lake,Undetermined,,Lake,Water Feature,LAKE,0c703187849c20c3aacc817708cb5433,63.7547222,-130.8580556,,Yukon,250000,1982-08-11,Yukon-Department of Tourism and Culture
KAACF,Algae Mountain,Undetermined,,Mountain,Terrain Feature,MTN,91484f13c6cd11d892e2080020a0f4c9,64.5638888,-133.6936111,,Yukon,250000,1958-01-16,Yukon-Department of Tourism and Culture
KAACI,Alie Creek,Undetermined,,Creek,Water Feature,RIV,0c6ede56849c20c36014be6f43911eac,61.1844604,-138.0703961,,Yukon,250000,1951-08-02,Yukon-Department of Tourism and Culture
KAACJ,Alki Creek,Chinook jargon,,Creek,Water Feature,RIV,25675a0cd05411d892e2080020a0f4c9,64.0628744,-138.9860263,,Yukon,250000,1981-03-30,Yukon-Department of Tourism and Culture
KAACL,Allan Creek,Undetermined,,Creek,Water Feature,RIV,2572a4add05411d892e2080020a0f4c9,60.5004329,-129.7464829,,Yukon,1000000,1980-07-14,Yukon-Department of Tourism and Culture
KAACN,Allegretto Lake,Undetermined,,Lake,Water Feature,LAKE,22e68670d05511d892e2080020a0f4c9,60.1983333,-129.7922222,,Yukon,250000,1980-07-14,Yukon-Department of Tourism and Culture
KAACP,Allen Creek,Undetermined,,Creek,Water Feature,RIV,257d7a1ed05411d892e2080020a0f4c9,63.9964857,-135.0309857,,Yukon,250000,1980-08-01,Yukon-Department of Tourism and Culture
KAACR,Allen Lake,Undetermined,,Lake,Water Feature,LAKE,0c6eded7849c20c34d4d6f309c4278d6,61.0315103,-138.2155271,,Yukon,250000,1953-05-07,Yukon-Department of Tourism and Culture
KAACS,Allgold Creek,Undetermined,,Creek,Water Feature,RIV,25889dafd05411d892e2080020a0f4c9,63.9446326,-138.6291061,,Yukon,250000,1980-12-23,Yukon-Department of Tourism and Culture
KAACU,Alligator Lake,Undetermined,,Lake,Water Feature,LAKE,25956ef0d05411d892e2080020a0f4c9,60.3850000,-135.3538888,,Yukon,250000,1947-09-04,Yukon-Department of Tourism and Culture
KAACV,Alligator Mountain,Undetermined,,Mountain,Terrain Feature,MTN,22f1f821d05511d892e2080020a0f4c9,60.4330555,-135.2750000,,Yukon,250000,1980-07-29,Yukon-Department of Tourism and Culture
KAACX,Alma Creek,Undetermined,,Creek,Water Feature,RIV,25a06b71d05411d892e2080020a0f4c9,64.2605556,-141.0000000,,Yukon,250000,1981-03-30,Yukon-Department of Tourism and Culture
KAACY,Almeda Pup,Undetermined,,Pup,Water Feature,RIV,22fd69d2d05511d892e2080020a0f4c9,63.8376091,-138.7847802,,Yukon,50000,1983-10-11,Yukon-Department of Tourism and Culture
KAACZ,Almost Lake,Undetermined,,Lake,Water Feature,LAKE,0c6edf19849c20c3cfc5d6eb459d45ce,60.4212054,-131.0679822,,Yukon,250000,1947-06-03,Yukon-Department of Tourism and Culture
KAADA,Almstrom Creek,Undetermined,,Creek,Water Feature,RIV,5de023aeba3611d892e2080020a0f4c9,68.1276407,-136.4482490,,Yukon,250000,1975-09-29,Yukon-Department of Tourism and Culture
KAADB,Alsek Ranges,Tlingit,,Ranges,Terrain Feature,MTN,7f8c3381ba3411d892e2080020a0f4c9,60.0604074,-137.4105487,,Yukon,1000000,1980-08-12,Yukon-Department of Tourism and Culture
KAADC,Alsek River,Tlingit,,River,Water Feature,RIV,5dfd489fba3611d892e2080020a0f4c9,60.0000000,-137.8086814,,Yukon,5000000,1980-08-12,Yukon-Department of Tourism and Culture
KAADF,Alverson Gulch,Undetermined,,Gulch,Terrain Feature,VALL,0c6edf59849c20c3150834c742c7f2aa,64.0950000,-135.0197221,,Yukon,50000,1950-09-07,Yukon-Department of Tourism and Culture
KAADG,Alverstone Glacier,Undetermined,,Glacier,Ice and Snow Feature,GLAC,23088d63d05511d892e2080020a0f4c9,60.3510047,-139.1335574,,Yukon,250000,1981-02-09,Yukon-Department of Tourism and Culture
KAHQT,American Gulch,Undetermined,,Gulch,Terrain Feature,VALL,0c70393e849c20c3165568b0ba3fb3ba,63.9466666,-139.3452778,,Yukon,50000,1983-01-11,Yukon-Department of Tourism and Culture
KAADJ,Ammerman Creek,Undetermined,,Creek,Water Feature,RIV,2313ff14d05511d892e2080020a0f4c9,68.4801874,-141.0000000,,Yukon,50000,1980-07-14,Yukon-Department of Tourism and Culture
KAADK,Ammerman Mountain,Undetermined,,Mountain,Terrain Feature,MTN,0c6edf9b849c20c36c41b26ad9556866,68.3844444,-140.9711111,,Yukon,250000,1944-10-21,Yukon-Department of Tourism and Culture
KAADL,Amphitheatre Mountain,Undetermined,,Mountain,Terrain Feature,MTN,25b68b83d05411d892e2080020a0f4c9,61.3141667,-139.4005556,,Yukon,250000,1980-09-12,Yukon-Department of Tourism and Culture
KAADN,Anderson Creek,Undetermined,,Creek,Water Feature,RIV,25c1af14d05411d892e2080020a0f4c9,63.7352772,-135.0213563,,Yukon,250000,1980-08-01,Yukon-Department of Tourism and Culture
